,유치원명,설립유형_x,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,차량운영여부,운행차량수,신고차량수,9인승신고차량수,12인승신고차량수,15인승신고차량수,x,y
10,이작초등학교병설유치원,공립(병설),경상남도 김해시 마사로241번길 12,08시40분~16시50분,,,,1,,,,,10,,18,,,,18,,Y,1,1,0,0,1,128.8376182,35.3615517
11,장유초등학교병설유치원,공립(병설),경상남도 김해시 능동로 190,08시30분~17시30분,,1.0,2.0,0,,,14.0,29.0,0,,69,,21.0,48.0,0,,N,0,0,0,0,0,128.8117749,35.2050793
12,한림초등학교병설유치원,공립(병설),경상남도 김해시 한림로371번길 47,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,Y,2,2,0,0,2,128.7986604,35.3240215
13,꽃무지풀무지유치원,사립(사인),경상남도 김해시 대청로104번길 46,09시00분~17시00분,3.0,4.0,3.0,0,,63.0,74.0,63.0,0,,300,100.0,100.0,100.0,0,,Y,3,3,0,0,3,128.8028793,35.1866598
14,한성유치원,사립(사인),경상남도 김해시 인제로51번길 54-10,09시00분~18시00분,,,3.0,0,,,,73.0,0,,100,,,78.0,0,,Y,2,2,0,0,2,128.8992079,35.2332341
15,지혜유치원,사립(사인),경상남도 김해시 금관대로1297번길 24,09시00분~18시00분,1.0,1.0,1.0,0,,11.0,13.0,19.0,0,,140,19.0,25.0,28.0,0,,Y,2,2,0,1,1,128.8597591,35.2417030
16,진영금병초등학교병설유치원,공립(병설),경상남도 김해시 장등로 37,08시40분~17시00분,,,2.0,0,,,,34.0,0,,48,,,48.0,0,,N,0,0,0,0,0,128.7346920,35.3098904
17,전원유치원,사립(사인),경상남도 김해시 삼안로112번길 20,09시00분~18시20분,3.0,4.0,3.0,0,,52.0,93.0,66.0,0,,280,57.0,100.0,84.0,0,,Y,3,3,0,1,2,128.9184569,35.2399198
18,김해활천초등학교병설유치원,공립(병설),경상남도 김해시 삼안로24번길 7,08시40분~17시40분,,,,1,1.0,,,,13,3.0,22,,,,18,4.0,N,0,0,0,0,0,128.9187267,35.2322943
19,대동초등학교병설유치원,공립(병설),경상남도 김해시 대동로 613,08시40분~18시30분,,,,1,,,,,5,,18,,,,18,,N,0,0,0,0,0,128.9805987,35.2433008
20,대진초등학교병설유치원,공립(병설),경상남도 김해시 고모로327번길 19,08시30분~17시30분,,,,1,,,,,4,,18,,,,18,,N,0,0,0,0,0,128.7641529,35.2576630
21,삼계초등학교병설유치원,공립(병설),경상남도 김해시 가야로38번길 30,08시30분~17시00분,,1.0,1.0,0,1.0,,18.0,22.0,0,4.0,45,,19.0,22.0,0,4.0,N,0,0,0,0,0,128.8642028,35.2675273
22,생림초등학교병설유치원,공립(병설),경상남도 김해시 봉림로 80-10,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,Y,1,1,0,0,1,128.8479181,35.3323629
23,안명초등학교병설유치원,공립(병설),경상남도 김해시 안하로 28,08시30분~18시30분,,,,1,,,,,18,,18,,,,18,,Y,2,2,0,0,2,128.8286451,35.3045764
24,월산초등학교병설유치원,공립(병설),경상남도 김해시 능동로 123,08시40분~17시10분,1.0,1.0,2.0,0,,16.0,20.0,31.0,0,,85,16.0,21.0,48.0,0,,N,0,0,0,0,0,128.8052946,35.2012626
